Fecha;Paí;Marca;Cliente; Ingresos ; Gastos 
10/02/2020;Per�;NexTec;Sector públic; $22,620.96 ; $12,294.00 
11/02/2020;Argentina;NeuroNet;Instituciones educativas; $14,612.40 ; $9,741.60 
11/02/2020;Per�;NexTec;Sector públic; $1,198,127.70 ; $988,930.80 
12/02/2020;Méxic;NexTec;Instituciones educativas; $29,590.11 ; $19,926.00 
12/02/2020;Uruguay;Cybernova;Grandes clientes; $21,955.75 ; $18,095.40 
13/02/2020;Uruguay;OmegaTech;Consumidores finales; $730,620.00 ; $607,875.84 
13/02/2020;Uruguay;OmegaTech;Pequeñas y medianas empresa; $289,564.85 ; $262,287.00 
14/02/2020;Uruguay;Cybernova;Consumidores finales; $224,120.77 ; $188,352.00 
14/02/2020;Argentina;NexTec;Sector públic; $15,864.97 ; $13,025.43 
15/02/2020;Argentina;OmegaTech;Sector públic; $85,249.89 ; $43,494.84 
15/02/2020;Uruguay;Cybernova;Grandes clientes; $25,468.67 ; $20,990.66 
16/02/2020;Méxic;Cybernova;Sector públic; $1,828.81 ; $1,319.49 
16/02/2020;Uruguay;Cybernova;Sector públic; $53,048.63 ; $43,553.88 
16/02/2020;Argentina;OmegaTech;Grandes clientes; $21,266.39 ; $16,110.90 
17/02/2020;Chile;NexTec;Sector públic; $3,038.73 ; $2,359.26 
17/02/2020;Uruguay;Cybernova;Sector públic; $116,626.44 ; $66,265.02 
17/02/2020;Uruguay;Cybernova;Pequeñas y medianas empresa; $431,040.77 ; $386,237.25 
20/02/2020;Per�;NexTec;Instituciones educativas; $3,227.58 ; $2,502.00 
20/02/2020;Méxic;NeuroNet;Sector públic; $94,639.64 ; $54,390.60 
20/02/2020;Méxic;Innovatech;Pequeñas y medianas empresa; $185,992.20 ; $180,225.00 
20/02/2020;Uruguay;NexTec;Grandes clientes; $124,228.74 ; $94,112.69 
21/02/2020;Argentina;NexTec;Pequeñas y medianas empresa; $254,191.50 ; $222,975.00 
24/02/2020;Per�;NeuroNet;Instituciones educativas; $14,111.60 ; $9,902.88 
24/02/2020;Chile;NexTec;Instituciones educativas; $12,503.29 ; $9,365.76 
24/02/2020;Per�;Cybernova;Grandes clientes; $8,190.07 ; $6,204.60 
25/02/2020;Méxic;OmegaTech;Consumidores finales; $502,678.21 ; $326,898.00 
26/02/2020;Argentina;Innovatech;Sector públic; $15,937.74 ; $8,757.00 
28/02/2020;Chile;NexTec;Pequeñas y medianas empresa; $765,021.35 ; $685,503.00 
28/02/2020;Argentina;OmegaTech;Grandes clientes; $9,849.60 ; $7,387.20 
2/03/2020;Uruguay;NexTec;Sector públic; $118,913.76 ; $63,252.00 
3/03/2020;Chile;NexTec;Sector públic; $1,153,115.55 ; $941,318.82 
4/03/2020;Méxic;Cybernova;Consumidores finales; $84,214.04 ; $71,496.00 
5/03/2020;Chile;NexTec;Instituciones educativas; $43,015.05 ; $33,345.00 
6/03/2020;Chile;Innovatech;Grandes clientes; $83,555.22 ; $66,666.40 
8/03/2020;Per�;Cybernova;Sector públic; $15,110.55 ; $11,992.50 
10/03/2020;Per�;Innovatech;Sector públic; $47,050.11 ; $25,295.76 
11/03/2020;Méxic;NeuroNet;Sector públic; $8,871.16 ; $6,741.00 
12/03/2020;Méxic;Cybernova;Instituciones educativas; $35,794.58 ; $25,119.00 
12/03/2020;Méxic;Cybernova;Sector públic; $2,629,074.42 ; $1,992,884.40 
12/03/2020;Chile;Innovatech;Pequeñas y medianas empresa; $206,193.60 ; $199,800.00 
12/03/2020;Méxic;NexTec;Pequeñas y medianas empresa; $125,307.00 ; $122,850.00 
13/03/2020;Chile;OmegaTech;Sector públic; $15,157.30 ; $12,303.00 
14/03/2020;Chile;OmegaTech;Consumidores finales; $44,783.65 ; $37,260.00 
16/03/2020;Chile;Cybernova;Consumidores finales; $409,388.91 ; $391,507.56 
17/03/2020;Chile;NeuroNet;Sector públic; $635,040.00 ; $524,160.00 
18/03/2020;Per�;NexTec;Consumidores finales; $99,517.07 ; $87,156.00 
18/03/2020;Argentina;NexTec;Pequeñas y medianas empresa; $776,506.50 ; $653,625.00 
18/03/2020;Uruguay;Cybernova;Pequeñas y medianas empresa; $605,254.68 ; $560,421.00 
19/03/2020;Per�;Cybernova;Sector públic; $6,253.56 ; $4,908.60 
20/03/2020;Argentina;Cybernova;Consumidores finales; $400,033.95 ; $354,072.60 
21/03/2020;Uruguay;Cybernova;Consumidores finales; $1,757,892.32 ; $1,507,800.42 
22/03/2020;Argentina;NexTec;Instituciones educativas; $8,042.76 ; $6,093.00 
22/03/2020;Argentina;OmegaTech;Consumidores finales; $93,426.49 ; $78,516.00 
22/03/2020;Uruguay;Cybernova;Grandes clientes; $68,963.40 ; $60,142.50 
23/03/2020;Per�;OmegaTech;Instituciones educativas; $103,661.98 ; $71,245.35 
23/03/2020;Chile;OmegaTech;Sector públic; $172,695.60 ; $145,782.00 
24/03/2020;Chile;OmegaTech;Sector públic; $367,479.00 ; $287,352.00 
26/03/2020;Argentina;OmegaTech;Grandes clientes; $18,715.32 ; $16,321.50 
31/03/2020;Argentina;NeuroNet;Sector públic; $655,735.50 ; $541,242.00 
31/03/2020;Per�;NeuroNet;Sector públic; $1,517.04 ; $1,260.00 
31/03/2020;Argentina;NeuroNet;Sector públic; $119,750.40 ; $101,088.00 
31/03/2020;Argentina;NexTec;Pequeñas y medianas empresa; $618,178.18 ; $559,944.00 
1/04/2020;Argentina;NexTec;Sector públic; $12,718.08 ; $6,624.00 
1/04/2020;Méxic;Cybernova;Sector públic; $16,093.67 ; $12,100.50 
1/04/2020;Uruguay;NeuroNet;Grandes clientes; $13,145.54 ; $10,834.24 
2/04/2020;Per�;NeuroNet;Instituciones educativas; $27,137.70 ; $19,044.00 
2/04/2020;Per�;Cybernova;Sector públic; $2,063.88 ; $1,620.00 
3/04/2020;Chile;NexTec;Sector públic; $1,489.57 ; $1,156.50 
3/04/2020;Chile;OmegaTech;Sector públic; $19,559.34 ; $11,241.00 
3/04/2020;Uruguay;Cybernova;Grandes clientes; $73,205.66 ; $61,690.17 
4/04/2020;Uruguay;Cybernova;Sector públic; $442,965.60 ; $350,064.00 
5/04/2020;Per�;NexTec;Sector públic; $22,620.96 ; $12,294.00 
6/04/2020;Argentina;Cybernova;Grandes clientes; $14,581.56 ; $11,391.84 
7/04/2020;Chile;OmegaTech;Consumidores finales; $223,370.48 ; $191,592.00 
7/04/2020;Chile;Cybernova;Pequeñas y medianas empresa; $932,062.95 ; $853,537.50 
7/04/2020;Chile;OmegaTech;Pequeñas y medianas empresa; $675,638.06 ; $611,991.00 
8/04/2020;Argentina;NexTec;Instituciones educativas; $8,696.16 ; $6,039.00 
8/04/2020;Chile;NeuroNet;Grandes clientes; $18,922.90 ; $15,260.40 
10/04/2020;Méxic;Cybernova;Pequeñas y medianas empresa; $318,622.68 ; $288,607.50 
10/04/2020;Chile;OmegaTech;Grandes clientes; $95,528.09 ; $75,416.91 
11/04/2020;Chile;NexTec;Sector públic; $165,186.00 ; $129,168.00 
12/04/2020;Argentina;Cybernova;Instituciones educativas; $8,696.16 ; $6,039.00 
13/04/2020;Argentina;OmegaTech;Consumidores finales; $234,934.27 ; $217,183.68 
15/04/2020;Méxic;Innovatech;Sector públic; $9,596.16 ; $4,896.00 
16/04/2020;Argentina;NeuroNet;Instituciones educativas; $97,032.13 ; $66,008.25 
16/04/2020;Méxic;OmegaTech;Sector públic; $30,701.16 ; $16,506.00 
17/04/2020;Uruguay;Cybernova;Sector públic; $672,036.75 ; $504,270.00 
18/04/2020;Uruguay;NexTec;Sector públic; $30,513.62 ; $22,942.58 
19/04/2020;Per�;NexTec;Sector públic; $30,990.72 ; $16,842.78 
19/04/2020;Argentina;Innovatech;Pequeñas y medianas empresa; $2,003,146.20 ; $1,686,150.00 
20/04/2020;Chile;Innovatech;Instituciones educativas; $29,364.53 ; $23,031.00 
20/04/2020;Chile;Innovatech;Sector públic; $23,751.90 ; $12,501.00 
21/04/2020;Uruguay;NeuroNet;Pequeñas y medianas empresa; $242,902.80 ; $206,550.00 
22/04/2020;Argentina;NexTec;Sector públic; $7,114.34 ; $5,841.00 
24/04/2020;Chile;Innovatech;Instituciones educativas; $25,492.32 ; $17,703.00 
24/04/2020;Per�;Cybernova;Consumidores finales; $241,328.21 ; $225,601.20 
26/04/2020;Uruguay;Cybernova;Instituciones educativas; $15,826.83 ; $11,345.40 
26/04/2020;Uruguay;Cybernova;Grandes clientes; $19,914.88 ; $15,398.10 
27/04/2020;Argentina;Cybernova;Instituciones educativas; $20,234.61 ; $13,626.00 
27/04/2020;Uruguay;NeuroNet;Instituciones educativas; $46,029.06 ; $34,870.50 
28/04/2020;Uruguay;Innovatech;Consumidores finales; $282,005.91 ; $263,628.00 
29/04/2020;Argentina;NeuroNet;Consumidores finales; $937,440.00 ; $779,950.08 
29/04/2020;Uruguay;NeuroNet;Sector públic; $43,931.16 ; $24,138.00 
29/04/2020;Chile;Innovatech;Sector públic; $119,153.97 ; $59,576.99 
29/04/2020;Per�;OmegaTech;Sector públic; $23,988.60 ; $18,624.69 
29/04/2020;Argentina;NeuroNet;Grandes clientes; $11,143.20 ; $9,286.00 
30/04/2020;Méxic;Cybernova;Consumidores finales; $69,897.65 ; $59,341.68 
2/05/2020;Méxic;NexTec;Grandes clientes; $11,473.06 ; $8,780.40 
3/05/2020;Chile;NexTec;Consumidores finales; $349,462.43 ; $290,752.74 
3/05/2020;Per�;NexTec;Sector públic; $17,717.40 ; $10,422.00 
3/05/2020;Per�;Cybernova;Pequeñas y medianas empresa; $1,010,671.99 ; $957,075.75 
3/05/2020;Argentina;Cybernova;Grandes clientes; $27,643.90 ; $22,056.30 
3/05/2020;Uruguay;OmegaTech;Grandes clientes; $74,058.36 ; $56,677.32 
4/05/2020;Méxic;NeuroNet;Consumidores finales; $246,281.54 ; $232,848.00 
5/05/2020;Méxic;NexTec;Instituciones educativas; $2,618.55 ; $1,918.35 
5/05/2020;Chile;NexTec;Consumidores finales; $116,162.31 ; $102,816.00 
5/05/2020;Uruguay;Cybernova;Sector públic; $47,684.17 ; $35,852.76 
5/05/2020;Méxic;Cybernova;Sector públic; $734,718.60 ; $620,217.00 
6/05/2020;Per�;OmegaTech;Instituciones educativas; $79,627.21 ; $56,473.20 
6/05/2020;Per�;OmegaTech;Consumidores finales; $1,131,233.27 ; $1,012,028.04 
6/05/2020;Uruguay;NexTec;Sector públic; $68,856.48 ; $34,776.00 
7/05/2020;Per�;NeuroNet;Pequeñas y medianas empresa; $320,625.00 ; $281,250.00 
7/05/2020;Uruguay;Innovatech;Pequeñas y medianas empresa; $547,649.10 ; $490,725.00 
8/05/2020;Méxic;OmegaTech;Instituciones educativas; $34,218.29 ; $23,762.70 
8/05/2020;Per�;Innovatech;Sector públic; $13,962.56 ; $10,840.50 
8/05/2020;Méxic;NeuroNet;Pequeñas y medianas empresa; $132,046.20 ; $111,150.00 
8/05/2020;Chile;OmegaTech;Pequeñas y medianas empresa; $318,697.20 ; $288,675.00 
8/05/2020;Méxic;NeuroNet;Grandes clientes; $7,302.96 ; $5,589.00 
9/05/2020;Argentina;NexTec;Grandes clientes; $2,026.04 ; $1,688.36 
10/05/2020;Argentina;Innovatech;Instituciones educativas; $74,674.13 ; $57,886.92 
11/05/2020;Per�;Cybernova;Grandes clientes; $16,686.00 ; $12,514.50 
11/05/2020;Uruguay;Innovatech;Grandes clientes; $46,674.38 ; $35,720.19 
12/05/2020;Méxic;Cybernova;Sector públic; $19,530.72 ; $11,097.00 
12/05/2020;Uruguay;Innovatech;Grandes clientes; $8,978.69 ; $7,014.60 
13/05/2020;Méxic;Innovatech;Sector públic; $27,165.60 ; $15,435.00 
14/05/2020;Argentina;NexTec;Consumidores finales; $317,488.85 ; $307,152.00 
15/05/2020;Argentina;NeuroNet;Pequeñas y medianas empresa; $234,522.00 ; $227,250.00 
16/05/2020;Uruguay;NexTec;Sector públic; $14,884.70 ; $11,191.50 
17/05/2020;Argentina;Cybernova;Sector públic; $27,624.24 ; $14,094.00 
18/05/2020;Uruguay;Cybernova;Sector públic; $19,590.27 ; $11,523.69 
18/05/2020;Per�;NexTec;Grandes clientes; $30,650.40 ; $22,987.80 
19/05/2020;Chile;OmegaTech;Instituciones educativas; $18,959.13 ; $14,697.00 
19/05/2020;Uruguay;NeuroNet;Consumidores finales; $294,111.78 ; $257,580.00 
19/05/2020;Méxic;NexTec;Pequeñas y medianas empresa; $446,387.22 ; $404,336.25 
20/05/2020;Méxic;OmegaTech;Sector públic; $3,434.93 ; $2,696.18 
22/05/2020;Uruguay;NeuroNet;Sector públic; $804,334.86 ; $663,895.44 
23/05/2020;Per�;Innovatech;Pequeñas y medianas empresa; $281,985.30 ; $252,675.00 
24/05/2020;Per�;NeuroNet;Sector públic; $12,450.38 ; $9,562.50 
24/05/2020;Uruguay;Cybernova;Sector públic; $467,410.61 ; $361,686.78 
24/05/2020;Méxic;Innovatech;Grandes clientes; $27,050.76 ; $22,052.25 
25/05/2020;Per�;Innovatech;Grandes clientes; $29,074.76 ; $22,026.33 
26/05/2020;Argentina;Cybernova;Sector públic; $180,148.50 ; $140,868.00 
26/05/2020;Argentina;NexTec;Grandes clientes; $3,751.92 ; $3,126.60 
26/05/2020;Uruguay;OmegaTech;Grandes clientes; $26,023.46 ; $20,544.84 
27/05/2020;Méxic;NeuroNet;Sector públic; $501,713.10 ; $384,228.00 
29/05/2020;Uruguay;Cybernova;Sector públic; $29,728.44 ; $15,813.00 
30/05/2020;Méxic;Innovatech;Grandes clientes; $13,662.00 ; $11,137.50 
31/05/2020;Uruguay;Cybernova;Instituciones educativas; $7,411.50 ; $4,941.00 
31/05/2020;Argentina;OmegaTech;Grandes clientes; $54,829.43 ; $41,537.45 
31/05/2020;Per�;NexTec;Grandes clientes; $4,083.18 ; $3,440.88 
1/06/2020;Uruguay;NeuroNet;Sector públic; $44,936.10 ; $25,245.00 
2/06/2020;Argentina;Innovatech;Instituciones educativas; $150,747.08 ; $115,515.00 
2/06/2020;Méxic;OmegaTech;Sector públic; $958,797.00 ; $749,736.00 
2/06/2020;Per�;Cybernova;Pequeñas y medianas empresa; $180,449.10 ; $155,025.00 
3/06/2020;Per�;Innovatech;Instituciones educativas; $20,398.73 ; $14,781.69 
3/06/2020;Argentina;Innovatech;Sector públic; $3,206.76 ; $2,411.10 
4/06/2020;Uruguay;OmegaTech;Instituciones educativas; $114,545.34 ; $84,848.40 
4/06/2020;Méxic;NexTec;Sector públic; $14,335.20 ; $8,145.00 
5/06/2020;Chile;Cybernova;Sector públic; $36,142.42 ; $26,076.78 
8/06/2020;Uruguay;NeuroNet;Consumidores finales; $282,005.91 ; $263,628.00 
9/06/2020;Méxic;OmegaTech;Sector públic; $11,279.02 ; $8,757.00 
9/06/2020;Uruguay;NexTec;Sector públic; $40,997.59 ; $21,577.68 
9/06/2020;Méxic;NexTec;Pequeñas y medianas empresa; $157,734.00 ; $142,875.00 
10/06/2020;Argentina;Cybernova;Grandes clientes; $30,757.71 ; $25,349.76 
11/06/2020;Méxic;OmegaTech;Pequeñas y medianas empresa; $1,471,537.94 ; $1,290,822.75 
12/06/2020;Méxic;Cybernova;Sector públic; $2,492,773.92 ; $1,928,932.20 
12/06/2020;Chile;OmegaTech;Grandes clientes; $24,942.06 ; $19,691.10 
12/06/2020;Méxic;Cybernova;Grandes clientes; $3,852.36 ; $3,321.00 
13/06/2020;Uruguay;Cybernova;Instituciones educativas; $15,267.69 ; $10,178.46 
14/06/2020;Chile;NexTec;Instituciones educativas; $28,676.70 ; $22,230.00 
14/06/2020;Chile;NeuroNet;Consumidores finales; $6,064.62 ; $2,628.00 
15/06/2020;Chile;Cybernova;Consumidores finales; $198,586.30 ; $177,660.00 
16/06/2020;Méxic;NexTec;Sector públic; $51,410.62 ; $37,857.60 
16/06/2020;Uruguay;NeuroNet;Grandes clientes; $19,331.68 ; $15,932.70 
18/06/2020;Per�;Innovatech;Grandes clientes; $48,670.71 ; $40,113.23 
19/06/2020;Argentina;NexTec;Grandes clientes; $12,086.93 ; $9,250.20 
21/06/2020;Chile;NexTec;Sector públic; $9,268.94 ; $7,119.00 
21/06/2020;Méxic;OmegaTech;Sector públic; $331,808.40 ; $280,098.00 
21/06/2020;Argentina;Cybernova;Sector públic; $16,232.33 ; $13,482.00 
21/06/2020;Per�;NexTec;Pequeñas y medianas empresa; $481,852.80 ; $418,275.00 
22/06/2020;Uruguay;NeuroNet;Pequeñas y medianas empresa; $430,680.89 ; $390,109.50 
23/06/2020;Chile;Cybernova;Sector públic; $2,102.18 ; $1,746.00 
24/06/2020;Per�;OmegaTech;Sector públic; $24,251.04 ; $13,779.00 
26/06/2020;Argentina;Innovatech;Sector públic; $30,639.61 ; $23,037.30 
28/06/2020;Uruguay;Innovatech;Instituciones educativas; $84,489.78 ; $61,224.48 
28/06/2020;Per�;Innovatech;Sector públic; $6,346.62 ; $4,927.50 
28/06/2020;Chile;NeuroNet;Sector públic; $138,299.81 ; $114,152.22 
29/06/2020;Per�;NexTec;Consumidores finales; $156,170.47 ; $133,952.40 
29/06/2020;Argentina;Cybernova;Pequeñas y medianas empresa; $2,224,376.15 ; $2,155,403.25 
29/06/2020;Chile;NexTec;Grandes clientes; $13,706.28 ; $10,489.50 
30/06/2020;Argentina;OmegaTech;Pequeñas y medianas empresa; $557,442.00 ; $516,150.00 
1/07/2020;Méxic;NeuroNet;Grandes clientes; $25,290.14 ; $21,554.10 
2/07/2020;Méxic;NexTec;Sector públic; $10,755.36 ; $7,920.00 
3/07/2020;Chile;NeuroNet;Consumidores finales; $94,454.57 ; $80,190.00 
3/07/2020;Per�;OmegaTech;Consumidores finales; $665,556.62 ; $651,462.48 
3/07/2020;Argentina;NeuroNet;Grandes clientes; $20,396.77 ; $15,770.70 
4/07/2020;Uruguay;NexTec;Sector públic; $113,056.48 ; $59,503.41 
5/07/2020;Méxic;Cybernova;Grandes clientes; $19,465.88 ; $16,780.93 
6/07/2020;Argentina;NexTec;Consumidores finales; $402,527.16 ; $372,114.00 
6/07/2020;Argentina;NeuroNet;Sector públic; $114,655.94 ; $61,642.98 
7/07/2020;Chile;Innovatech;Instituciones educativas; $76,054.12 ; $59,650.29 
7/07/2020;Méxic;OmegaTech;Sector públic; $2,986.89 ; $2,344.50 
8/07/2020;Per�;NexTec;Consumidores finales; $60,905.77 ; $59,616.00 
8/07/2020;Per�;OmegaTech;Sector públic; $6,936.62 ; $5,215.50 
8/07/2020;Méxic;OmegaTech;Sector públic; $1,906,437.71 ; $1,539,359.64 
8/07/2020;Per�;Cybernova;Pequeñas y medianas empresa; $263,557.80 ; $221,850.00 
9/07/2020;Uruguay;Cybernova;Sector públic; $2,557,166.98 ; $2,020,861.44 
9/07/2020;Argentina;NeuroNet;Grandes clientes; $3,751.92 ; $3,126.60 
10/07/2020;Méxic;OmegaTech;Instituciones educativas; $32,284.98 ; $23,652.00 
10/07/2020;Per�;Cybernova;Consumidores finales; $1,079,959.81 ; $916,863.84 
10/07/2020;Uruguay;NeuroNet;Consumidores finales; $28,282.40 ; $12,379.50 
10/07/2020;Chile;Cybernova;Sector públic; $27,588.56 ; $20,527.20 
11/07/2020;Argentina;NeuroNet;Pequeñas y medianas empresa; $292,832.82 ; $262,395.00 
12/07/2020;Méxic;NeuroNet;Consumidores finales; $774,947.25 ; $657,914.40 
12/07/2020;Uruguay;Innovatech;Sector públic; $71,210.74 ; $36,332.01 
12/07/2020;Per�;NexTec;Pequeñas y medianas empresa; $2,192,430.24 ; $1,903,151.25 
13/07/2020;Per�;OmegaTech;Sector públic; $5,309.71 ; $2,949.84 
14/07/2020;Argentina;Cybernova;Sector públic; $27,624.24 ; $14,094.00 
15/07/2020;Uruguay;NexTec;Consumidores finales; $101,137.07 ; $84,996.00 
15/07/2020;Argentina;NexTec;Consumidores finales; $18,200.05 ; $11,380.50 
15/07/2020;Méxic;NeuroNet;Pequeñas y medianas empresa; $899,974.80 ; $749,979.00 
15/07/2020;Méxic;NexTec;Pequeñas y medianas empresa; $208,009.62 ; $203,931.00 
16/07/2020;Chile;Innovatech;Instituciones educativas; $84,114.45 ; $65,205.00 
16/07/2020;Chile;Cybernova;Instituciones educativas; $43,710.26 ; $33,883.92 
16/07/2020;Uruguay;OmegaTech;Pequeñas y medianas empresa; $95,882.40 ; $86,850.00 
17/07/2020;Argentina;NexTec;Instituciones educativas; $31,654.02 ; $21,981.96 
17/07/2020;Uruguay;Cybernova;Sector públic; $658,324.80 ; $509,418.00 
18/07/2020;Argentina;OmegaTech;Consumidores finales; $186,455.77 ; $172,368.00 
18/07/2020;Méxic;NeuroNet;Consumidores finales; $10,852.96 ; $6,718.50 
19/07/2020;Chile;NeuroNet;Instituciones educativas; $64,486.75 ; $46,227.06 
21/07/2020;Uruguay;Cybernova;Instituciones educativas; $63,804.51 ; $42,536.34 
21/07/2020;Per�;NeuroNet;Sector públic; $222,037.20 ; $185,328.00 
24/07/2020;Uruguay;Innovatech;Grandes clientes; $33,490.51 ; $26,164.46 
25/07/2020;Chile;Innovatech;Consumidores finales; $347,160.29 ; $294,732.00 
25/07/2020;Chile;NeuroNet;Consumidores finales; $220,622.74 ; $185,412.24 
25/07/2020;Per�;Cybernova;Consumidores finales; $263,373.32 ; $257,796.00 
25/07/2020;Per�;Cybernova;Sector públic; $10,867.10 ; $6,245.46 
25/07/2020;Méxic;Cybernova;Grandes clientes; $15,900.33 ; $12,552.89 
27/07/2020;Argentina;Innovatech;Pequeñas y medianas empresa; $756,345.60 ; $656,550.00 
28/07/2020;Uruguay;NexTec;Consumidores finales; $162,050.63 ; $138,996.00 
29/07/2020;Uruguay;NexTec;Sector públic; $490,549.50 ; $418,860.00 
29/07/2020;Chile;Cybernova;Grandes clientes; $29,665.03 ; $25,282.69 
30/07/2020;Per�;Cybernova;Sector públic; $432,306.00 ; $341,640.00 
1/08/2020;Uruguay;OmegaTech;Sector públic; $1,587.47 ; $1,318.50 
2/08/2020;Méxic;OmegaTech;Grandes clientes; $5,705.42 ; $4,552.20 
